"Tỉnh, thành phố";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Sơ bộ 2019"
"Đắk Lắk";191.9;197.3;215.1;172.5;220.4;257.8;272.8;248.5;330.2;307.1;236.3;372.5;323.5;369.3;421.6;450.7;474.3;490.6;514.1;577.8;555.8;550.2;643.5;697.5;692.2
"Đắk Nông";..;..;..;..;..;..;..;..;..;46.3;51.8;52.1;49.7;52.1;61.2;61.8;64.9;68.6;66.6;73.5;73.1;72.4;74.6;78.7;76.9
"Lâm Đồng";80.8;67.7;96.4;94.9;98.7;102.1;116.6;101.8;129.2;138.6;129.7;103.7;139.2;143.6;150.7;141.8;158.2;163.2;156.3;158.0;156.2;145.4;151.5;149.9;149.6
"Đông Nam Bộ";935.4;964.3;1024.9;1025.7;1142.1;1212.0;1210.2;1211.1;1269.9;1277.7;1211.6;1159.5;1240.6;1316.1;1334.3;1322.7;1361.2;1398.6;1346.1;1349.1;1376.1;1367.4;1396.7;1418.9;1417.9
"Bình Phước";38.2;34.7;40.3;31.2;34.1;29.6;33.2;35.2;38.8;39.8;39.5;34.8;41.2;41.5;45.5;46.0;42.9;47.2;44.9;42.6;42.4;39.4;39.6;42.6;41.1
"Tây Ninh";307.9;370.2;391.6;394.4;507.3;530.3;538.2;576.4;626.4;642.0;585.5;594.4;640.6;705.3;717.8;738.8;762.4;778.1;742.3;740.9;760.8;760.0;788.9;813.0;806.1
"Bình Dương";74.1;67.4;68.9;67.6;70.7;66.6;66.5;66.9;67.5;66.1;57.4;45.9;43.4;39.8;37.8;38.8;38.5;37.9;37.0;34.1;31.4;30.6;30.6;29.1;28.2
"Đồng Nai";217.9;223.4;232.3;236.1;234.5;270.3;280.4;284.3;302.2;296.6;325.2;305.8;324.6;333.1;337.9;322.9;336.2;342.7;332.5;337.3;337.2;331.5;329.1;325.3;330.3
"Bà Rịa - Vũng Tàu";60.1;63.9;56.6;70.2;69.9;79.9;82.7;71.5;72.7;74.1;70.4;74.4;77.9;85.5;95.3;84.5;95.4;99.7;99.1;105.6;116.0;120.7;122.1;129.8;131.1
"TP.Hồ Chí Minh";237.2;204.7;235.2;226.2;225.6;235.3;209.2;176.8;162.3;159.1;133.6;104.2;112.9;110.9;100.0;91.7;85.8;93.0;90.3;88.6;88.3;85.2;86.4;79.1;81.1
"Đồng bằng sông Cửu Long";12831.7;13818.8;13850.0;15318.6;16294.7;16702.7;15997.5;17709.6;17528.0;18567.2;19298.5;18229.2;18678.9;20669.5;20523.2;21595.6;23269.5;24320.8;25021.1;25245.6;25583.7;23831.0;23609.0;24506.9;24282.0
"Long An";1015.8;1181.2;1240.6;1400.5;1522.8;1573.3;1626.2;1738.6;1772.8;1902.7;1934.2;1769.4;1950.6;2178.1;2158.6;2304.8;2550.7;2663.5;2816.1;2860.6;2918.7;2802.2;2643.2;2802.6;2769.5
"Tiền Giang";1191.6;1227.1;1319.7;1319.9;1301.7;1301.1;1287.6;1285.3;1268.0;1315.3;1303.2;1214.3;1306.7;1321.0;1308.0;1320.6;1332.8;1370.0;1348.7;1370.3;1344.4;1268.1;1249.3;1254.5;1122.0
"Bến Tre";319.3;352.7;319.2;338.4;327.0;357.3;379.7;392.1;381.0;368.1;341.4;332.5;304.8;361.1;362.7;366.8;362.2;375.0;331.6;318.9;278.8;87.6;227.2;236.7;213.9
"Trà Vinh";647.4;678.7;714.0;744.0;839.2;944.7;902.3;1005.9;1045.6;1033.9;1028.8;1009.8;929.8;1086.7;1076.8;1156.0;1155.3;1258.0;1274.8;1326.9;1339.5;956.3;1137.4;1268.0;1254.3
"Vĩnh Long";861.6;885.2;873.8;969.5;966.0;941.0;911.2;963.3;936.4;963.6;973.0;932.3;810.8;896.1;911.4;928.9;1032.3;1079.6;1063.7;1087.2;1094.7;938.7;942.5;969.5;907.6
"Đồng Tháp";1616.5;1720.0;1748.9;1930.0;2076.2;1878.5;1963.6;2178.7;2214.9;2420.9;2606.5;2404.9;2544.4;2720.2;2650.4;2807.0;3100.2;3051.8;3327.0;3300.0;3384.5;3396.8;3206.8;3330.2;3349.0
"An Giang";1892.5;1971.5;1980.5;2044.6;2100.0;2177.7;2113.4;2593.7;2686.3;3006.9;3141.6;2923.2;3142.9;3513.8;3421.5;3653.1;3856.8;3941.6;4021.4;4022.9;4073.7;3974.7;3879.6;3926.9;3916.8
"Kiên Giang";1462.4;1697.5;1692.2;1900.4;2026.2;2284.3;2188.0;2578.4;2489.6;2739.8;2944.3;2744.3;2977.3;3387.2;3397.7;3497.1;3921.1;4287.1;4471.8;4532.2;4643.0;4161.6;4058.8;4267.4;4285.9
"Cần Thơ";1710.7;1803.1;1713.0;1894.7;1979.6;1882.8;1954.4;2216.2;2142.4;1194.7;1233.7;1153.0;1131.6;1198.5;1138.1;1196.7;1289.7;1319.8;1370.3;1367.7;1408.1;1397.8;1387.2;1426.3;1365.9
"Hậu Giang";..;..;..;..;..;..;..;..;..;1076.7;1109.2;1062.8;865.1;1020.1;993.8;1090.2;1128.5;1179.9;1191.3;1204.6;1293.1;1231.0;1261.0;1246.1;1258.4
"Sóc Trăng";1088.1;1150.4;1181.2;1381.5;1507.5;1618.0;1525.7;1642.8;1610.2;1526.1;1634.2;1602.2;1602.5;1739.5;1780.4;1966.6;2090.6;2251.8;2220.0;2265.3;2275.5;2171.1;2105.1;2132.7;2170.2
"Bạc Liêu";494.3;554.8;517.5;677.4;804.6;893.5;727.0;694.1;627.9;614.4;661.5;677.2;693.2;764.4;820.3;809.5;908.9;986.7;1017.9;1037.0;1064.5;993.1;1064.9;1115.3;1143.1
"Cà Mau";531.5;596.6;549.4;717.7;843.9;850.5;418.4;420.5;352.9;404.1;386.9;403.3;419.2;482.8;503.5;498.3;540.4;556.0;566.5;552.0;465.2;452.0;446.0;530.7;525.4
